Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C35, C36, C37, C4",0402,7,1u,C52923
"C10, C11, C12, C15, C16, C17, C20, C21, C22, C23, C25, C26, C27, C7, C8, C9",0805,16,10u,C440198
"C13, C14, C24, C28, C31, C32, C33, C34",0402,8,0u1,C307331
"C19, C3, C5, C6",0402,4,1n,C1523
"C29, C30",0603,2,20p,C1648
"D1, D10, D2",D_SMA,3,SMBJ6.0CA,C19077544
D11,0805,1,YELLOW,C2296
"D12, D13, D14, D16, D17",Diode_DFN1006,5,H5VU10U,C22395519
D15,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
D3,D_SMB,1,SMBJ6.0CA,C2925451
"D4, D5, D6, D8",0805,4,GREEN,C2297
D7,0805,1,RED,NCD0805R1
FB1,0805,1,600Ω@100M,C81034
"J1, J2",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,2,Conn_01x02,C163035
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
"J4, J5",JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,2,Conn_01x04,C163037
L1,L_Sunlord_MWSA0402S,1,3u3,C167207
"R1, R13, R14, R17, R20, R21, R26, R5, R9",0402,9,10k,C25744
"R10, R22, R7, R8",0402,4,3k3,C25890
"R11, R12, R16, R18, R24, R28, R3, R4",0402,8,5k1,C25905
"R15, R2, R23, R6",0402,4,1k,C11702
R19,0402,1,52k3,C2998086
R25,1206,1,120,C17909
R27,0603,1,560,C23204
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
"U1, U2, U3, U5",Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,4,TPS259470x,C3662799
U4,SOT-583-8,1,TPS62933,C5219254
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U7,SOT-89-3,1,HT753-1,C14289
U8,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
