Designator,Mid X,Mid Y,Rotation,Layer
C1,16.5,27.25,90.0,top
C10,22.25,29.25,0.0,top
C11,19.25,22.25,90.0,top
C12,21.25,22.25,90.0,top
C13,22.75,21.75,90.0,top
C14,27.25,21.25,180.0,top
C15,16.75,18.5,90.0,top
C16,18.75,18.5,90.0,top
C17,20.75,18.5,90.0,top
C18,18.1,8.45,180.0,top
C19,20.35,5.2,0.0,top
C2,16.5,38.25,270.0,top
C20,16.4,3.45,180.0,top
C21,16.4,1.43,180.0,top
C22,19.9,3.43,0.0,top
C23,19.9,1.43,0.0,top
C24,29.25,12.23,90.0,top
C25,27.6125,8.775,180.0,top
C26,27.6125,1.775,0.0,top
C27,42.0,48.25,0.0,top
C28,19.75,46.48,270.0,top
C29,28.75,32.75,90.0,top
C3,19.75,40.5,90.0,top
C30,36.75,33.0,90.0,top
C31,31.5,38.5,270.0,top
C32,29.5,40.25,90.0,top
C33,32.73,49.0,0.0,top
C34,41.0,45.75,270.0,top
C35,37.0,37.0,270.0,top
C36,41.5,37.0,90.0,top
C37,32.015,4.25,90.0,top
C4,10.5,18.0,270.0,top
C5,19.8,32.5,90.0,top
C6,14.25,19.5,180.0,top
C7,21.25,40.0,90.0,top
C8,21.5,32.0,90.0,top
C9,22.0,37.25,0.0,top
D1,14.25,29.75,90.0,top
D10,35.75,18.75,90.0,top
D11,11.0,45.75,90.0,top
D12,23.25,45.0,180.0,top
D13,27.25,45.0,180.0,top
D14,25.25,45.0,0.0,top
D15,36.015,3.0,0.0,top
D16,21.0,48.615,270.0,top
D17,29.0,48.615,270.0,top
D2,14.25,39.0,90.0,top
D3,13.0,10.75,0.0,top
D4,21.0,35.25,0.0,top
D5,21.25,27.25,0.0,top
D6,16.0,15.0,0.0,top
D7,24.25,25.0,0.0,top
D8,14.2875,5.45,180.0,top
FB1,39.25,37.0,0.0,top
H1,10.0,4.0,90.0,top
H2,46.0,11.0,90.0,top
H3,3.0,38.0,90.0,top
H6,5.0,45.0,90.0,top
H7,5.0,5.0,90.0,top
H8,45.0,5.0,90.0,top
J1,8.0,26.25,270.0,top
J2,8.0,35.5,270.0,top
J3,4.0,15.5,270.0,top
J4,42.0,29.25,90.0,top
J5,42.0,15.75,90.0,top
J6,45.75,41.94,0.0,top
J7,25.0,47.5,180.0,top
JP1,24.0,41.27,180.0,top
JP2,21.255,13.5,270.0,top
JP3,35.75,27.755,0.0,top
JP4,23.75,6.52,180.0,top
JP5,34.27,7.75,90.0,top
L1,24.75,17.75,180.0,top
R1,18.0,27.25,180.0,top
R10,12.25,14.5,0.0,top
R11,23.25,35.25,90.0,top
R12,23.5,27.25,270.0,top
R13,17.26,33.5,0.0,top
R14,18.75,25.25,0.0,top
R15,12.26,19.5,180.0,top
R16,16.75,13.5,180.0,top
R17,14.25,13.5,180.0,top
R18,24.25,23.5,0.0,top
R19,27.75,23.25,90.0,top
R2,18.01,26.25,0.0,top
R20,26.75,23.25,270.0,top
R21,15.6,7.45,90.0,top
R22,14.6,7.45,270.0,top
R23,19.85,7.25,90.0,top
R24,13.6,7.46,90.0,top
R25,35.25,23.5,180.0,top
R26,32.0,22.25,0.0,top
R27,35.0,36.0,180.0,top
R28,11.0,48.0,180.0,top
R3,4.25,21.5,0.0,top
R4,4.25,9.5,0.0,top
R5,17.25,35.5,180.0,top
R6,17.25,34.5,180.0,top
R7,17.75,39.75,180.0,top
R8,17.75,31.85,180.0,top
R9,12.25,15.5,180.0,top
SW1,32.25,18.75,90.0,top
SW2,16.25,46.5,0.0,top
TP1,10.75,6.75,0.0,top
TP2,17.5,42.5,90.0,top
TP3,24.25,32.75,90.0,top
TP4,16.5,22.5,90.0,top
TP5,26.0,13.5,90.0,top
TP6,20.5,9.75,90.0,top
TP7,12.25,2.25,90.0,top
TP8,23.75,1.775,180.0,top
U1,18.75,37.75,90.0,top
U2,18.75,29.75,90.0,top
U3,13.5,17.5,90.0,top
U4,24.75,21.5,0.0,top
U5,17.75,6.25,0.0,top
U6,33.5,12.25,270.0,top
U7,28.6125,5.275,180.0,top
U8,35.25,43.25,0.0,top
Y1,32.75,33.0,180.0,top
